Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
A1BG			ENSG00000121410
A1BG-AS1	FLJ23569	NCRNA00181	ENSG00000268895
A1BG-AS1	FLJ23569	A1BGAS	ENSG00000268895
A1BG-AS1	FLJ23569	A1BG-AS	ENSG00000268895
A1CF	ACF		ENSG00000148584
A1CF	ASP		ENSG00000148584
A1CF	ACF64		ENSG00000148584
A1CF	ACF65		ENSG00000148584
A1CF	APOBEC1CF		ENSG00000148584
A2M	FWP007		ENSG00000175899
A2M	S863-7		ENSG00000175899
A2M	CPAMD5		ENSG00000175899
A2M-AS1			ENSG00000245105
A2ML1	FLJ25179	CPAMD9	ENSG00000166535
A2ML1	p170	CPAMD9	ENSG00000166535
A2ML1-AS1			ENSG00000256661
A2ML1-AS2			ENSG00000256904
A2MP1		A2MP	ENSG00000256069
A3GALT2	IGBS3S	A3GALT2P	ENSG00000184389
A3GALT2	IGB3S	A3GALT2P	ENSG00000184389
A4GALT	A14GALT	P1	ENSG00000128274
A4GALT	Gb3S	P1	ENSG00000128274
A4GALT	P(k)	P1	ENSG00000128274
A4GNT	alpha4GnT		ENSG00000118017
A12M1
A12M2
A12M3
A12M4
AAAS			ENSG00000094914
AABT
AACS	FLJ12389		ENSG00000081760
AACS	SUR-5		ENSG00000081760
AACS	ACSF1		ENSG00000081760
AACSP1		AACSL	ENSG00000250420
AADAC	DAC		ENSG00000114771
AADAC	CES5A1		ENSG00000114771
AADACL2	MGC72001		ENSG00000197953
AADACL2-AS1			ENSG00000242908
AADACL3	OTTHUMG00000001887		ENSG00000188984
AADACL4	OTTHUMG00000001889		ENSG00000204518
AADACP1			ENSG00000240602
AADAT	KATII		ENSG00000109576
AADAT	KAT2		ENSG00000109576
AADAT	KYAT2		ENSG00000109576
AAGAB	FLJ11506		ENSG00000103591
AAGAB	p34		ENSG00000103591
AAK1	KIAA1048		ENSG00000115977
AAK1	DKFZp686K16132		ENSG00000115977
AAMDC	PTD015	C11orf67	ENSG00000087884
AAMDC	FLJ21035	C11orf67	ENSG00000087884
AAMDC	CK067	C11orf67	ENSG00000087884
AAMP			ENSG00000127837
AANAT	SNAT		ENSG00000129673
AAR2	bA234K24.2	C20orf4	ENSG00000131043
AARD	LOC441376	C8orf85	ENSG00000205002
AARS1	CMT2N	AARS	ENSG00000090861
AARS1	AlaRS	AARS	ENSG00000090861
AARS1P1		AARSP1	ENSG00000249038
AARS2	KIAA1270	AARSL	ENSG00000124608
AARS2	bA444E17.1	AARSL	ENSG00000124608
AARSD1	MGC2744		ENSG00000266967
AARSD1	AlaXp		ENSG00000266967
AARSD1P1			ENSG00000234969
AASDH	NRPS998		ENSG00000157426
AASDH	LYS2		ENSG00000157426
AASDH	ACSF4		ENSG00000157426
AASDHPPT	LYS5		ENSG00000149313
AASDHPPT	CGI-80		ENSG00000149313
AASDHPPT	AASD-PPT		ENSG00000149313
AASDHPPT	ACPS		ENSG00000149313
AASDHPPT-AS1			ENSG00000254433
AASS	LORSDH		ENSG00000008311
AASS	LKRSDH		ENSG00000008311
AASS	LKR/SDH		ENSG00000008311
AATBC			ENSG00000215458
AATF	DED		ENSG00000275700
AATF	CHE-1		ENSG00000275700
AATF	CHE1		ENSG00000275700
AATF	BFR2		ENSG00000275700
AATK	AATYK		ENSG00000181409
AATK	KIAA0641		ENSG00000181409
AATK	LMTK1		ENSG00000181409
AATK	LMR1		ENSG00000181409
AATK	AATYK1		ENSG00000181409
AATK	PPP1R77		ENSG00000181409
AAVS1	AAV
